Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,p_values_168
tRF-16-08Q2B5D,-0.3901905180423026,1.4756360421817032,-0.744159647603445,-0.341285876535955,-1.0575246190526078,0.4138306156101102,1.1887999752577258,-0.5451059718152288,1.287789272692121,-0.8897773838552396,0.2861168567830044,-0.684128745619885,1.387798198334805,-0.6440941449368225,-0.8092368879119034,0.0655328345139209,0.3164530645868127,1.0350195797485386,-1.3522541612737038,0.0007815169383533,-0.1608714259196527,-0.8326629523407244,1.442081293470431,-0.4485469152100531,1.0
tRF-16-0P5830E,0.830841693044929,-1.3484430958786522,-0.1639567303142154,0.6815581331479388,0.5301003925339104,-1.0588519291071747,1.1182015913756025,-0.5894500548023379,-1.0309022283428997,-0.3962689428267441,1.3307576623347963,0.0964135088348473,-0.0896842833746417,-0.4881114827070912,1.4261709232809998,-0.848375157199268,-0.3738513196054525,-0.9768131269530632,-0.0296231236196897,1.3802875701782051,-0.2231914499974424,-0.5982587387505407,1.4725353061961426,-0.6510851174481599,1.0
tRF-16-3JWB61B,-1.0666352531389252,0.320788082491843,-0.4876693038846305,1.233516474531713,0.0197615611680381,-0.2515412277490949,1.3220149479702754,-1.090235281389219,0.7134849297590713,0.5203488830110604,0.23719179752457,-1.4710256102947012,-0.8006924382735969,0.999001055601399,-0.9180637530915314,0.7197551357637297,1.181820852560925,0.3387704872524403,-1.1679934857342944,-0.3525978540790704,1.3343239309104449,-1.0863889704834455,-0.0583824975168155,-0.1895524629101839,1.0
tRF-16-3KMB01B,-0.5559609983152063,1.490796149796254,-0.5928684184693134,-0.3419667330117344,-1.3227047332634618,0.8484985621864389,0.6943046998325854,-0.2200985287555631,1.4971237646214124,-0.5328564801813438,-0.4122097299516055,-0.552057554488464,1.056027295386942,-0.9555916941052164,0.6449826059155674,-0.7454182071972929,-0.3193558067860219,1.4382956273419898,-0.878299328641511,-0.2406404919144578,0.3694015267910897,-0.6877807432519178,1.2408128093682105,-0.9224335929073818,1.0
tRF-16-3KXR3RB,-0.8647638974591852,1.0267191545855392,-0.850690700624099,0.6887354434977445,-1.2147509987314593,0.3427531912973875,1.1524869262447908,-0.280489118810718,0.6757734226603548,0.3294487152817585,0.4796205869840591,-1.4848427249261704,1.30646727519482,-0.9782082737224428,0.2116196483261616,-0.5398786497985387,0.041694132129862,0.8703101475107035,-1.4112366511954952,0.4992323715549295,-0.2778877316279081,-0.9464407321682226,-0.1870661026966864,1.4113945664928171,1.0
tRF-16-3VLIE1B,-0.0111670344564995,-0.1635642105687274,-1.1287463259461712,1.3034775709713982,-0.9961539771684762,-0.2737682682177206,1.3854199604800677,-0.115497715093871,1.4826987510032372,-0.3687684206366344,-0.7072879433296595,-0.4066423870369431,1.1802185252516724,0.1115021268363948,-1.2624559742805084,-0.0292646778075587,1.3201039795206482,-0.5930602239436471,-0.9297853954054768,0.2027416398284762,0.9881286009854696,-0.7935299705944581,-0.9264488011773244,0.7318501707863128,1.0
tRF-16-489B3RB,-0.59387293197377,1.494569936041456,-0.5133885701717488,-0.3873084338959369,-1.036129337488825,0.452600226058812,1.172484692711808,-0.5889555812817954,1.4166019617528207,-0.708495472880605,-0.0072351025560444,-0.7008713863161712,0.7204136940548781,-0.6012253462409208,0.9681288581713092,-1.0873172059852665,0.6084524121087961,0.7727461333585411,-1.4250359155347572,0.0438373700674201,0.6552836867476152,-1.4865277127190375,0.5032443099316694,0.3279997160397518,1.0
tRF-16-73FJQ4D,-0.384484292142868,1.4950991662832025,-0.5476389057963409,-0.5629759683439932,-1.369132347533071,-0.0751643192877779,0.5261502350144461,0.918146431806403,0.4637514879483784,-1.4360497779031072,0.8397121595063569,0.132586130448372,-1.1960696929103565,0.2045783484293767,1.215480847831097,-0.2239895033501175,0.910805795456956,-0.2614678115795153,-1.2971008604562098,0.6477628765787689,1.2204535122464768,0.0631215447098178,-0.0575245604498337,-1.2260504965064607,1.0
tRF-16-7P596VE,0.9820403161095852,-0.0978469260414642,0.4620946069257466,-1.346287996993868,-1.174575353563148,0.4983906693460379,1.094189761733142,-0.4180050775160318,1.424507673790877,-0.7534844979577089,-0.0372642514693762,-0.6337589243637918,0.4305706143097636,1.1852978648021135,-0.5797211298374134,-1.036147349274463,-0.9319599927197676,1.369103689759245,-0.5027006509375153,0.0655569538980377,-0.3107150713019017,1.4822891057370036,-0.4858312960256667,-0.6857427384094344,1.0
tRF-16-884U1DD,-0.715241844441554,1.372010103048484,-0.7701675085380981,0.1133992499311679,-0.3274001382684376,1.4854036741397654,-0.6681616798037353,-0.4898418560675925,1.4969708545761018,-0.446224883021486,-0.4624124189396859,-0.5883335526149299,1.4690416250028464,-0.2039073446862593,-0.6378645534852355,-0.6272697268313501,-0.3960372954440406,-0.0043330119851646,-0.975184467742628,1.3755547751718336,0.8517016716619898,-0.9893329312359956,0.8707986195861015,-0.7331673600120951,1.0
